time	size	parameter
329	a-50	decroissant
360	a-50	decroissant
333	a-50	decroissant
331	a-50	decroissant
293	a-50	decroissant
309	a-50	decroissant
343	a-50	decroissant
339	a-50	decroissant
332	a-50	decroissant
340	a-50	decroissant
336	a-50	decroissant
339	a-50	decroissant
330	a-50	decroissant
315	a-50	decroissant
350	a-50	decroissant
295	a-50	decroissant
338	a-50	decroissant
348	a-50	decroissant
345	a-50	decroissant
436	a-50	decroissant
381	a-50	decroissant
348	a-50	decroissant
293	a-50	decroissant
324	a-50	decroissant
332	a-50	decroissant
333	a-50	decroissant
345	a-50	decroissant
339	a-50	decroissant
352	a-50	decroissant
336	a-50	decroissant
360	a-50	decroissant
337	a-50	decroissant
322	a-50	decroissant
329	a-50	decroissant
322	a-50	decroissant
296	a-50	decroissant
300	a-50	decroissant
298	a-50	decroissant
321	a-50	decroissant
298	a-50	decroissant
291	a-50	decroissant
329	a-50	decroissant
330	a-50	decroissant
443	a-50	decroissant
389	a-50	decroissant
333	a-50	decroissant
324	a-50	decroissant
389	a-50	decroissant
336	a-50	decroissant
290	a-50	decroissant
298	a-50	decroissant
339	a-50	decroissant
329	a-50	decroissant
326	a-50	decroissant
329	a-50	decroissant
324	a-50	decroissant
321	a-50	decroissant
336	a-50	decroissant
319	a-50	decroissant
326	a-50	decroissant
315	a-50	decroissant
297	a-50	decroissant
289	a-50	decroissant
292	a-50	decroissant
310	a-50	decroissant
330	a-50	decroissant
321	a-50	decroissant
307	a-50	decroissant
328	a-50	decroissant
326	a-50	decroissant
321	a-50	decroissant
324	a-50	decroissant
332	a-50	decroissant
356	a-50	decroissant
389	a-50	decroissant
381	a-50	decroissant
369	a-50	decroissant
337	a-50	decroissant
360	a-50	decroissant
356	a-50	decroissant
333	a-50	decroissant
354	a-50	decroissant
333	a-50	decroissant
372	a-50	decroissant
341	a-50	decroissant
345	a-50	decroissant
331	a-50	decroissant
346	a-50	decroissant
337	a-50	decroissant
342	a-50	decroissant
350	a-50	decroissant
351	a-50	decroissant
412	a-50	decroissant
